accession,name,length,organism,label,subcategory,pfam_ids,go_terms,function_description,sequence_identity_to_nearest_threat,is_hard_negative
P07845,ACTP2_STIHL,175,Stichodactyla helianthus,threat,pore_forming_toxin,['PF06369'],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0046930:C:pore complex', 'GO:0015267:F:channel activity', 'GO:0042802:F:identical protein binding', 'GO:0090729:F:toxin activity', 'GO:0051715:P:cytolysis in another organism', 'GO:0006812:P:monoatomic cation transport', 'GO:0046931:P:pore complex assembly']","Pore-forming protein that forms cations-selective hydrophilic pores of around 1 nm and causes cardiac stimulation and cytolysis. Pore formation is a multi-step process that involves specific recognition of membrane sphingomyelin (but neither cholesterol nor phosphatidylcholine) using aromatic rich region and adjacent phosphocholine (POC) binding site, firm binding to the membrane (mainly driven by hydrophobic interactions) accompanied by the transfer of the N-terminal region to the lipid-water interface and finally pore formation after oligomerization of monomers. Cytolytic effects include red blood cells hemolysis, platelet aggregation and lysis, cytotoxic and cytostatic effects on fibroblasts. Lethality in mammals has been ascribed to severe vasospasm of coronary vessels, cardiac arrhythmia, and inotropic effects",,False
P58762,JTX1A_CHIQU,462,Chiropsoides quadrigatus,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']","Critical allergen and main toxic protein of C.quadrigatus venom (PubMed:26201970). Has potent hemolytic activity (PubMed:11866126). Is lethal to crayfish (PubMed:11866126). Causes cutaneous inflammation in humans (PubMed:26201970). May act as a pore-forming toxin, disrupting normal transmembrane ion concentration gradients in susceptible cells (By similarity)",,False
Q9GV72,JTX21_CARRA,450,Carybdea rastonii,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']","Has potent hemolytic activity (PubMed:10964707). Is lethal to mice and crayfish (PubMed:10964707). Causes cutaneous inflammation in humans (PubMed:10964707). May act as a pore-forming toxin, disrupting normal transmembrane ion concentration gradients in susceptible cells (Probable)",,False
Q45757,CR6AA_BACTU,475,Bacillus thuringiensis,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0020002:C:host cell plasma membrane', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0030435:P:sporulation resulting in formation of a cellular spore']","Pore-forming toxin with nematicidal activity (PubMed:26795495, PubMed:27576487). In infected C.elegans, induces an increase in intracellular Ca(2+) resulting in necrosis of host intestinal cells (PubMed:26795495). Also, induces the expression of aspartic protease asp-1 (PubMed:26795495)",,False
Q9GNN8,JTX2A_CARAL,463,Carybdea alata,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']","Has potent hemolytic activity (PubMed:10964708). Is lethal to crayfish (PubMed:10964708). Causes cutaneous inflammation in humans (Probable). May act as a pore-forming toxin, disrupting normal transmembrane ion concentration gradients in susceptible cells (Probable)",,False
A0A6M3Z554,TX11A_TETBN,58,Tetramorium bicarinatum,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']","Neurotoxin that causes irreversible rapid flaccid paralysis in blowflies and honeybees upon intrathoracic injection (PubMed:37888631). Causes a quick and irreversible cytolytic effect (at 10 uM) indicating it possibly acts as a pore-forming peptide (PubMed:38786948). Shows only weak effect on aphids (A.pisum) at high doses 24 hours post intrathoracic injection (PubMed:37888631). In vitro, is not cytotoxic on the dipteran S2 Drosophila embryonic cell line (PubMed:37888631)",,False
A0ZSK4,STXB_SYNVE,700,Synanceia verrucosa,threat,pore_forming_toxin,"['PF24674', 'PF13765', 'PF00622', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","Has hemolytic and lethal activities. Its hemolytic activity is inhibited by anionic lipids, especially potently by cardiolipin",,False
A0ZSK3,STXA_SYNVE,703,Synanceia verrucosa,threat,pore_forming_toxin,"['PF13765', 'PF00622', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","Has hemolytic and lethal activities. Its hemolytic activity is inhibited by anionic lipids, especially potently by cardiolipin",,False
P15320,HLYA_SERMA,1608,Serratia marcescens,threat,pore_forming_toxin,"['PF13332', 'PF05860']","['GO:0009279:C:cell outer membrane', 'GO:0003824:F:catalytic activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","Cell-bound hemolysin, which releases heme-iron from erythrocytes by interaction with the erythrocyte membrane. ShlA requires ShlB function",,False
P0DUW6,JTXU1_CYACP,243,Cyanea capillata,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']","Has potent hemolytic activity. Is lethal to crayfish. Causes cutaneous inflammation in humans. May act as a pore-forming toxin, disrupting normal transmembrane ion concentration gradients in susceptible cells",,False
Q3LX99,TXLR3_EISFE,300,Eisenia fetida,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0042742:P:defense response to bacterium', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']",Pore-forming toxin that specifically binds sphingomyelin in the plasma membrane of various cells. Has antibacterial and hemolytic activity (By similarity),,False
O18425,TXLR2_EISFE,300,Eisenia fetida,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0042742:P:defense response to bacterium', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']",Pore-forming toxin that specifically binds sphingomyelin in the plasma membrane of various cells (By similarity). Has hemolytic activity. It also has antibacterial activities against B.megaterium,,False
O18424,TXLR1_EISFE,300,Eisenia fetida,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0042742:P:defense response to bacterium', 'GO:0031640:P:killing of cells of another organism', 'GO:0006811:P:monoatomic ion transport']",Pore-forming toxin that specifically binds sphingomyelin in the plasma membrane of various cells. Has hemolytic activity. Binding and hemolytic activities of this toxin are 10 times less than those of lysenin and lysenin-related protein 2,,False
A7L035,JTX11_CHIFL,456,Chironex fleckeri,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0006811:P:monoatomic ion transport']","May cause profound effects on the cardiovascular system of anesthetized rats (at 25 ug/kg), since the fraction containing this toxin and CfTX-2 produces an initial increase in mean arterial pressure, followed by cardiovascular collapse in all animals within 1 minute of injection (PubMed:24403082). To note, the same fraction does not induce significant change in heart rate (PubMed:24403082). Has weak hemolytic activity (PubMed:24403082). Is lethal to crayfish (By similarity). Causes cutaneous inflammation in humans (By similarity). May act as a pore-forming toxin, disrupting normal transmembrane ion concentration gradients in susceptible cells (By similarity)",,False
A7L036,JTX12_CHIFL,462,Chironex fleckeri,threat,pore_forming_toxin,[],"['GO:0005576:C:extracellular region', 'GO:0042151:C:nematocyst', 'GO:0044218:C:other organism cell membrane', 'GO:0090729:F:toxin activity', 'GO:0006811:P:monoatomic ion transport']","May cause profound effects on the cardiovascular system of anesthetized rats (at 25 ug/kg), since the fraction containing this toxin and CfTX-1 produces an initial increase in mean arterial pressure, followed by cardiovascular collapse in all animals within 1 minute of injection (PubMed:24403082). To note, the same fraction does not induce significant change in heart rate (PubMed:24403082). Has weak hemolytic activity (PubMed:24403082). Is lethal to crayfish (By similarity). Causes cutaneous inflammation in humans (By similarity). May act as a pore-forming toxin, disrupting normal transmembrane ion concentration gradients in susceptible cells (By similarity)",,False
Q98993,VTXB_SYNVE,696,Synanceia verrucosa,threat,pore_forming_toxin,"['PF24674', 'PF00622', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0005246:F:calcium channel regulator activity', 'GO:0015459:F:potassium channel regulator activity', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","This lethal (towards mice) toxin induces hemolytic, cytolytic and hypotensive activities. Inhibits calcium channels and may activate ATP-sensitive potassium channels in frog atrial heart muscle. In guinea-pig ventricular myocytes, it modulates calcium channel activity through the beta-adrenoceptor-cAMP-PKA pathway (ADRB)",,False
A0A2P1BRP3,CTXB_SCOPL,702,Scorpaena plumieri,threat,pore_forming_toxin,"['PF24674', 'PF13765', 'PF00622', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","This heterodimer induces potent hemolytic activities (when tested on rabbit erythrocytes, EC(50)=25-56 ng/mL) due to its ability to form pores in the cell membrane (PubMed:20493199, PubMed:23933196). The pore may be composed of 10 alpha/beta heterodimers (By similarity). The toxin shows cardiovascular effects that include a vasorelaxant action that may involve the L-arginine-nitric oxid synthase pathway (PubMed:20493199). In addition, it displays edema-inducing activities, increases vascular permeability (By similarity). It also shows myotoxic activities and interferes irreversibly with neuromuscular function (By similarity). It also induces irreversible platelet aggregation in rabbit or rat (but not in human or mouse) whole blood (By similarity). In addition, it has been observed to increase spontaneous quantal acetylcholine release from isolated frog cutaneous pectoris motor endings (By similarity)",,False
A0A2P1BRQ0,CTXA_SCOPL,702,Scorpaena plumieri,threat,pore_forming_toxin,"['PF24674', 'PF13765', 'PF21109', 'PF18078']","['GO:0005576:C:extracellular region', 'GO:0090729:F:toxin activity', 'GO:0031640:P:killing of cells of another organism']","This heterodimer induces potent hemolytic activities (when tested on rabbit erythrocytes, EC(50)=25-56 ng/mL) due to its ability to form pores in the cell membrane (PubMed:20493199, PubMed:23933196). The pore may be composed of 10 alpha/beta heterodimers (By similarity). The toxin shows cardiovascular effects that include a vasorelaxant action that may involve the L-arginine-nitric oxid synthase pathway (PubMed:20493199). In addition, it displays edema-inducing activities, increases vascular permeability (By similarity). It also shows myotoxic activities and interferes irreversibly with neuromuscular function (By similarity). It also induces irreversible platelet aggregation in rabbit or rat (but not in human or mouse) whole blood (By similarity). In addition, it has been observed to increase spontaneous quantal acetylcholine release from isolated frog cutaneous pectoris motor endings (By similarity)",,False
